UPC,IMDB
012569807921,tt0365737
012569807938,tt0398375
012569809246,tt0372784
012569809253,tt0071230
012569809260,tt0367594
012569809277,tt0360486
012569809284,tt0377818
012569809291,tt0070034
012569809314,tt0093058
012569809321,tt0099685
012569809345,tt0325710
012569809376,tt0405159
012569809383,tt0349903
012569809390,tt0177971
012569809406,tt0293508
012569809437,tt0244244
012569809444,tt0181852
012569809451,tt0139654
012569809468,tt0332452
012569809475,tt0117998
012569809482,tt0105695
012569809529,tt0080487
012569809536,tt0066921
012569809543,tt0121164
012569809550,tt0066999
012569809574,tt0106977
012569809598,tt0304141
012569809604,tt0097733
012569809628,tt0097958
012569809659,tt0338348
012569809666,tt0267913
012569809680,tt0078346
012569809840,tt0397065
012569810129,tt0081573
012569810181,tt0240772
012569810273,tt0408345
012569810280,tt0450232
012569810297,tt0466856
012569810303,tt0434409
012569810310,tt0405296
012569810327,tt0410297
012569810334,tt0444682
012569810341,tt0409182
012569810358,tt0429589
012569810365,tt0427392
012569810372,tt0348150
012569810389,tt0452637
012569810396,tt0414993
012569810402,tt0450232
012569810419,tt0450232
012569811102,tt0147746
012569811119,tt0147746
012569811126,tt0147746
012569811157,tt0147746
012569811171,tt0147746
012569811492,tt0092214
012569811508,tt0084412
012569813786,tt0082089
012569814844,tt0365737
012569814882,tt0398375
012569814929,tt0433116
012569814950,tt0408345
012569814998,tt0450232
012569815490,tt0078607
012569815537,tt0078607
012569815544,tt0078607
012569815858,tt0412253
012569815865,tt0412253
012569816534,tt0118971
012569816541,tt0118971
012569816558,tt0177971
012569816565,tt0177971
012569816572,tt0062765
012569816589,tt0062765
012569816596,tt0075029
012569816602,tt0075029
012569816619,tt0094602
012569816626,tt0094602
012569816718,tt0060490
012569818316,tt0105690
012569818323,tt0081505
012569818330,tt0120663
012569818347,tt0241527
012569818378,tt0070355
012569818385,tt0074483
012569818392,tt0086383
012569818408,"tt0066999,tt0070355,tt0074483,tt0086383,tt0094963"
012569819870,tt0828151
012569821095,tt0061184
012569821194,tt0106977
012569822924,tt0469263
012569823372,tt0348150
012569826793,tt0410297
012569826809,tt0410297
012569826878,tt0417976
012569826922,tt0409182
012569826939,tt0409182
012569827905,tt0090917
012569828322,tt0070047
012569828384,tt0071230
012569828391,tt0080487
012569828407,tt0106977
012569828414,tt0093058
012569828421,tt0433383
012569828438,tt0397065
012569828445,tt0093409
012569828452,tt0405159
